package_name,on_cran,install,github_username,description
BayesSingleSub,TRUE,FALSE,,"MCMC functions."
circular,TRUE,TRUE,,For circular statistics and graphs
colorspace,TRUE,TRUE,,Explicit control over the HCL color scheme
devtools,TRUE,FALSE,,Used in the C1 survival for sourcing gists
ggplot2,TRUE,TRUE,,Graphing
grid,TRUE,TRUE,,The underlying framework for the graphics used in this pacakge
gridBase,TRUE,FALSE,,Additional grid functions
knitr,TRUE,TRUE,,For reporting
lubridate,TRUE,TRUE,,Consistent/convienent function signatures for manipulating dates
roxygen2,TRUE,FALSE,,Creates documentation Rd file from (well-formed) comments
testit,TRUE,TRUE,,has the useful `assert()` function
testthat,TRUE,TRUE,hadley,Heavier testing framework that's good for package development
zoo,TRUE,TRUE,,"Time series functions."
